Timestamp,PacketID,RSSI_dBm,Corrente_A,Comando_Pct,TensaoTotal_V,Celulas_N,C1,C2,C3,C4,C5,C6,Corrente_Med_A,Corrente_Min_A,LoopMs,PwmIdleMs
2026-06-01T22_21_06,23256,-45,0.91,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.10,-1.10,19,4
2026-06-01T22_21_06,23257,-45,1.04,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.18,-1.35,19,14
2026-06-01T22_21_06,23258,-45,0.66,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.26,-1.10,19,4
2026-06-01T22_21_06,23259,-45,1.29,0,16.40,4,4.028,4.156,4.106,4.107,0.000,0.000,-0.09,-1.22,19,14
2026-06-01T22_21_06,23260,-44,1.16,3,16.40,4,4.028,4.156,4.105,4.106,0.000,0.000,-0.19,-1.35,19,4
2026-06-01T22_21_06,23261,-44,1.16,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.14,-1.35,19,14
2026-06-01T22_21_06,23262,-46,1.67,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.01,-1.47,19,3
2026-06-01T22_21_06,23263,-46,1.29,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.11,-1.47,19,13
2026-06-01T22_21_06,23264,-46,1.92,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.20,-1.97,19,3
2026-06-01T22_21_06,23265,-46,1.67,0,16.40,4,4.028,4.155,4.107,4.107,0.000,0.000,-0.09,-1.35,19,13
2026-06-01T22_21_06,23266,-50,1.67,0,16.40,4,4.027,4.156,4.106,4.107,0.000,0.000,-0.12,-1.60,19,3
2026-06-01T22_21_06,23267,-50,1.16,1,16.40,4,4.028,4.155,4.107,4.107,0.000,0.000,-0.12,-1.47,19,13
2026-06-01T22_21_07,23268,-46,1.16,7,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.17,-1.22,19,3
2026-06-01T22_21_07,23269,-46,1.54,9,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.17,-1.22,19,13
2026-06-01T22_21_07,23270,-48,26.78,16,15.77,4,3.866,3.996,3.979,3.929,0.000,0.000,6.87,-4.23,19,2
2026-06-01T22_21_07,23271,-48,36.32,21,15.62,4,3.812,3.953,3.964,3.895,0.000,0.000,9.79,-5.24,19,12
2026-06-01T22_21_07,23272,-46,56.54,27,15.16,4,3.706,3.811,3.865,3.781,0.000,0.000,14.18,-19.67,19,2
2026-06-01T22_21_07,23273,-46,67.34,33,15.02,4,3.646,3.772,3.835,3.771,0.000,0.000,18.44,-10.50,19,12
2026-06-01T22_21_07,23274,-51,62.45,39,14.79,4,3.592,3.771,3.738,3.689,0.000,0.000,21.01,-14.40,19,2
2026-06-01T22_21_07,23275,-51,80.90,48,14.32,4,3.520,3.562,3.563,3.675,0.000,0.000,25.38,-16.05,19,11
2026-06-01T22_21_07,23276,-57,69.10,51,14.27,4,3.481,3.646,3.614,3.527,0.000,0.000,27.01,-8.00,19,1
2026-06-01T22_21_07,23277,-57,65.71,51,14.49,4,3.532,3.634,3.705,3.620,0.000,0.000,22.71,-9.88,19,11
2026-06-01T22_21_07,23278,-57,54.66,51,14.61,4,3.597,3.727,3.655,3.632,0.000,0.000,21.40,-17.67,19,1
2026-06-01T22_21_07,23279,-48,48.38,51,14.74,4,3.603,3.726,3.779,3.631,0.000,0.000,20.62,-8.13,19,11
2026-06-01T22_21_07,23280,-48,48.76,55,14.75,4,3.590,3.735,3.780,3.649,0.000,0.000,17.99,-14.66,19,1
